"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.98693716451538,0.881,0.536,0,"2","Meis2"
0,1.24841838913677,0.801,0.459,0,"2","Rmst"
0,2.15018903723486,0.997,0.661,0,"2","Acsbg1"
0,0.907769382770905,0.917,0.603,0,"2","Clmn"
0,1.06876294807419,0.975,0.746,0,"2","Arc"
0,1.38648926393596,0.994,0.806,0,"2","Id2"
3.46698644624299e-300,1.48291115419369,0.629,0.311,8.59812638668262e-298,"2","Lypd6"
7.39408446242229e-271,1.25058409362396,0.691,0.38,1.83373294668073e-268,"2","Cdh20"
3.59877260904036e-201,0.816166900313055,0.84,0.626,8.9249560704201e-199,"2","Mapk4"
3.68998780382342e-177,0.636680148366046,0.877,0.669,9.15116975348209e-175,"2","Gng12"
3.0517286015561e-158,0.550985014683429,0.954,0.724,7.56828693185913e-156,"2","Dkk3"
4.43340835838076e-146,0.727640637723146,0.78,0.596,1.09948527287843e-143,"2","Tle4"
1.75695650541988e-143,0.437757124576172,0.954,0.802,4.35725213344131e-141,"2","Dner"
2.71489675395282e-128,1.02921364622975,0.457,0.245,6.73294394980299e-126,"2","Unc13c"
3.52640971246503e-90,0.910077802880205,0.456,0.272,8.74549608691327e-88,"2","Tox"
2.53738547425879e-86,0.409217297356832,0.935,0.82,6.29271597616179e-84,"2","Bhlhe40"
1.47383844686146e-79,1.19547821190383,0.308,0.163,3.65511934821643e-77,"2","Cdh4"
5.75318921132178e-78,0.526685332817087,0.487,0.302,1.4267909244078e-75,"2","Wfs1"
1.36931146409956e-68,0.649465197926631,0.438,0.268,3.39589243096692e-66,"2","Fezf2"
2.37153783191741e-49,0.594552484037155,0.608,0.475,5.88141382315517e-47,"2","Cux2"
4.78065287282676e-40,0.62673642758589,0.2,0.11,1.18560191246104e-37,"2","Cplx3"
8.35274193586806e-19,0.485881640118762,0.244,0.171,2.07148000009528e-16,"2","Rspo1"
6.17331003795086e-16,0.672426541190501,0.107,0.063,1.53098088941181e-13,"2","Cd44"
1.04160835959797e-13,0.35017799372874,0.399,0.33,2.58318873180296e-11,"2","Igsf21"
7.7897478221661e-10,0.48109615937834,0.175,0.132,1.93185745989719e-07,"2","Stard5"
4.19124230521304e-07,0.280896511265563,0.254,0.21,0.000103942809169283,"2","Hs3st2"
6.91784533743907e-07,0.253177245203249,0.253,0.209,0.000171562564368489,"2","Zfpm2"
1.24023916125862e-05,0.332630141573813,0.251,0.217,0.00307579311992137,"2","Prr16"
0,4.39723947851049,0.98,0.115,0,"3","Cldn5"
0,3.97049344473439,0.96,0.148,0,"3","Adgrl4"
0,3.53643582713003,0.936,0.148,0,"3","Pecam1"
0,3.10967598614242,0.962,0.185,0,"3","Fn1"
0,3.57487190711984,0.869,0.111,0,"3","Acvrl1"
0,3.75259877632172,0.987,0.229,0,"3","Ly6a"
0,3.52136707201464,0.885,0.13,0,"3","Kdr"
0,4.15095245317219,0.808,0.089,0,"3","Pglyrp1"
0,3.90529256750955,0.757,0.07,0,"3","Emcn"
0,4.1970923362027,0.746,0.064,0,"3","Nostrin"
0,4.2932884658846,0.715,0.047,0,"3","Sox17"
0,3.47680974624204,0.744,0.084,0,"3","Fgd5"
0,3.62325802260496,0.73,0.075,0,"3","Cd93"
0,3.9281461378042,0.65,0.061,0,"3","Zfp366"
0,3.36954060941106,0.652,0.078,0,"3","Mecom"
0,3.45441977972424,0.608,0.061,0,"3","Paqr5"
0,3.43419888494535,0.583,0.067,0,"3","Slfn5"
0,1.56315845632792,0.766,0.272,0,"3","Cobll1"
0,2.12680119130846,0.84,0.411,0,"3","Car4"
4.08805588873089e-100,0.437164894004283,0.307,0.138,1.01383786040526e-97,"3","Ccn2"
2.93312104754045e-92,0.601533112522016,0.843,0.755,7.27414019790031e-90,"3","Arc"
9.77211167079754e-84,0.312729696318646,0.847,0.671,2.42348369435779e-81,"3","Acsbg1"
2.1677045953232e-70,0.304120555058545,0.628,0.42,5.37590739640153e-68,"3","Sema6a"
5.47324368550608e-53,0.307251431279691,0.677,0.515,1.35736443400551e-50,"3","Kctd12"
7.69965318566411e-43,0.590846669109274,0.38,0.25,1.9095139900447e-40,"3","Unc13c"
5.66506050801092e-42,0.907288739988257,0.138,0.063,1.40493500598671e-39,"3","Prph"
4.68043023682856e-37,0.487002238200629,0.517,0.394,1.16074669873348e-34,"3","Hpcal1"
1.55022559648334e-15,0.401072838296925,0.229,0.163,3.84455947927869e-13,"3","Arhgap6"
0,3.43267123803952,0.935,0.284,0,"4","Slc17a6"
0,4.01258754774136,0.75,0.104,0,"4","Calb2"
0,1.98182259660148,0.843,0.244,0,"4","Necab2"
0,2.4901379312408,0.774,0.235,0,"4","Tmem163"
0,1.9615365696041,0.618,0.164,0,"4","Btbd11"
0,2.1612289178666,0.662,0.248,0,"4","Rnf152"
0,1.1077633951503,0.695,0.316,0,"4","Prox1"
0,1.79260555959873,0.586,0.216,0,"4","Inpp4b"
0,1.4609167226387,0.599,0.237,0,"4","Cacna2d2"
0,1.82867599746183,0.507,0.176,0,"4","Foxp2"
0,2.87452805307467,0.392,0.064,0,"4","Fign"
0,2.38186745223992,0.409,0.103,0,"4","Plch1"
0,1.54097807461802,0.905,0.659,0,"4","Rims3"
0,1.45212658727676,0.843,0.608,0,"4","Clmn"
0,3.19050556728981,0.278,0.057,0,"4","Cbln1"
0,1.0234204909072,0.985,0.799,0,"4","Dner"
2.77317590765955e-306,2.42168141651214,0.422,0.148,6.87747625099569e-304,"4","Tmem255a"
9.80564097048451e-290,1.72016101653688,0.66,0.365,2.43179896068016e-287,"4","Nell1"
2.22786576826613e-271,1.29989260155973,0.573,0.251,5.5251071053e-269,"4","Cntnap4"
2.03321746567309e-255,1.1637029061604,0.685,0.356,5.04237931486928e-253,"4","Thsd7a"
4.1652096699278e-244,2.31002768406643,0.328,0.107,1.0329719981421e-241,"4","Opn3"
2.83854142473414e-237,1.79697290738651,0.519,0.241,7.03958273334066e-235,"4","Unc13c"
4.45273675903608e-208,1.54324448320623,0.688,0.467,1.10427871624095e-205,"4","Rmst"
7.18609408380308e-201,1.00516481240391,0.68,0.416,1.78215133278316e-198,"4","Sema6a"
9.33329564327166e-176,1.21590681923287,0.762,0.516,2.31465731953137e-173,"4","Aqp4"
5.55667192481409e-164,0.576693580448393,0.985,0.855,1.37805463735389e-161,"4","Nrn1"
3.91668390585872e-156,0.775454960466963,0.715,0.442,9.71337608652964e-154,"4","Cpne4"
2.84709928955055e-151,1.56696523320574,0.267,0.095,7.06080623808537e-149,"4","Sncg"
7.75761393305277e-145,0.689539724732976,0.496,0.24,1.92388825539709e-142,"4","Nr2f2"
2.70151850898972e-138,1.79686973663141,0.142,0.034,6.69976590229451e-136,"4","Tacr1"
3.70032263072769e-119,0.819108468850729,0.497,0.272,9.17680012420466e-117,"4","Sdk2"
1.11276767753727e-115,1.00901267976349,0.664,0.454,2.75966384029243e-113,"4","Slc39a12"
2.56297882151334e-114,0.92812865649165,0.46,0.266,6.35618747735308e-112,"4","Vat1l"
7.15190143015308e-113,0.88048586054979,0.609,0.415,1.77367155467796e-110,"4","Tanc1"
1.37083807840582e-110,1.10416019831069,0.481,0.273,3.39967843444644e-108,"4","Chrm2"
1.04687356840768e-100,0.464504845631414,0.714,0.504,2.59624644965104e-98,"4","Rorb"
1.6791415424866e-97,1.68063879139854,0.553,0.433,4.16427102536676e-95,"4","Necab1"
9.14034214429741e-92,1.40078884393178,0.269,0.125,2.26680485178576e-89,"4","Cwh43"
2.23311724806578e-88,0.705553852117652,0.763,0.612,5.53813077520313e-86,"4","Ntsr2"
8.99708986862819e-85,0.830920557713376,0.601,0.446,2.23127828741979e-82,"4","Cntn6"
3.25573536296562e-80,1.22072602589397,0.18,0.07,8.07422370015474e-78,"4","Sntb1"
1.34895686977725e-79,0.622131101249407,0.544,0.347,3.34541303704757e-77,"4","Arhgap12"
5.12205452948405e-79,0.714418142653663,0.803,0.674,1.27026952331204e-76,"4","Acsbg1"
9.57624564100397e-71,0.876988323306899,0.435,0.274,2.37490891896898e-68,"4","Tox"
4.79756164877707e-67,1.01793515828687,0.414,0.266,1.18979528889671e-64,"4","Rfx4"
6.58046591005104e-65,0.98312230299575,0.301,0.165,1.63195554569266e-62,"4","Angpt1"
1.66393019314238e-60,1.28175212489113,0.163,0.07,4.1265468789931e-58,"4","Pkib"
2.30633687367267e-51,0.719613282463509,0.322,0.19,5.71971544670822e-49,"4","Kcnmb2"
4.96527332128119e-50,0.616083698040404,0.53,0.391,1.23138778367773e-47,"4","Cdh20"
1.06167000458228e-38,0.46192123330446,0.611,0.516,2.63294161136406e-36,"4","Pde7b"
9.52899537426999e-37,0.582197918545163,0.643,0.533,2.36319085281896e-34,"4","Plcxd2"
1.19929303990916e-30,0.683020477660796,0.165,0.091,2.97424673897472e-28,"4","Adamts2"
2.64839832165012e-27,0.504001565868298,0.382,0.285,6.5680278376923e-25,"4","Nrp2"
6.89649127856027e-26,0.418637301015553,0.327,0.228,1.71032983708295e-23,"4","Galnt14"
1.28110117713283e-25,0.745583131905181,0.181,0.111,3.17713091928941e-23,"4","Kctd8"
1.82811163061578e-24,0.397379071432108,0.426,0.328,4.53371684392714e-22,"4","Igsf21"
1.43947470387856e-23,1.27613387250178,0.345,0.288,3.56989726561882e-21,"4","Mdga1"
